ticker,sector,trading_date,original_publish_date,title,url,publisher,n_articles
ABBV,Healthcare,2020-03-23,2020-03-23,Societe Generale Downgrades AbbVie to Hold,https://www.benzinga.com/news/20/03/15630659/societe-generale-downgrades-abbvie-to-hold,Vick Meyer,11
ABBV,Healthcare,2020-07-20,2020-07-19,3 Fantastic Dividend Stocks to Buy When the Market Crashes Again,https://www.nasdaq.com/articles/3-fantastic-dividend-stocks-to-buy-when-the-market-crashes-again-2020-07-19,,1
ABBV,Healthcare,2021-02-03,2021-02-03,AbbVie Q4 20 Earnings Conference Call At 9:00 AM ET,https://www.nasdaq.com/articles/abbvie-q4-20-earnings-conference-call-at-9%3A00-am-et-2021-02-03,,12
ABBV,Healthcare,2023-02-02,2023-02-02,The 3 Most Undervalued Penny Stocks to Buy in February 2023,https://www.nasdaq.com/articles/the-3-most-undervalued-penny-stocks-to-buy-in-february-2023,,6
ABBV,Healthcare,2023-04-14,2023-04-14,Here is What to Know Beyond Why AbbVie Inc. (ABBV) is a Trending Stock,https://www.nasdaq.com/articles/here-is-what-to-know-beyond-why-abbvie-inc.-abbv-is-a-trending-stock-2,,5
ABBV,Healthcare,2023-10-06,2023-10-06,AbbVie (ABBV) Buys Parkinson's Disease Treatment Maker,https://www.nasdaq.com/articles/abbvie-abbv-buys-parkinsons-disease-treatment-maker,,3
ABBV,Healthcare,2023-11-16,2023-11-16,AbbVie Says Ubrelvy Reduced Development Of Headache If Given At Prodrome Phase Of Migraine Attack,https://www.nasdaq.com/articles/abbvie-says-ubrelvy-reduced-development-of-headache-if-given-at-prodrome-phase-of-migraine,,3
ABT,Healthcare,2020-04-07,2020-04-07,"Here Are All the Companies Working on COVID-19 Vaccines, Treatments, and Testing",https://www.nasdaq.com/articles/here-are-all-the-companies-working-on-covid-19-vaccines-treatments-and-testing-2020-04-07,,4
ABT,Healthcare,2020-09-01,2020-09-01,Carnival Stock Could Rebound Significantly Once a Vaccine Arrives,https://www.nasdaq.com/articles/carnival-stock-could-rebound-significantly-once-a-vaccine-arrives-2020-09-01,,7
ABT,Healthcare,2021-04-15,2021-04-15,Medtronic Is Healing Hearts and Padding Portfolios,https://www.nasdaq.com/articles/medtronic-is-healing-hearts-and-padding-portfolios-2021-04-15,,1
ABT,Healthcare,2021-04-20,2021-04-20,US STOCKS-Wall St headed for lower open as focus turns to tech earnings,https://www.nasdaq.com/articles/us-stocks-wall-st-headed-for-lower-open-as-focus-turns-to-tech-earnings-2021-04-20,,9
ABT,Healthcare,2021-12-21,2021-12-21,3 Great Stocks to Buy With the Omicron Variant Spreading Like Wildfire,https://www.nasdaq.com/articles/3-great-stocks-to-buy-with-the-omicron-variant-spreading-like-wildfire,,3
ABT,Healthcare,2022-05-02,2022-04-30,"Want $2,000 in Passive Income? Invest $10,000 in This Cathie Wood Dividend Stock and Wait 5 Years",https://www.nasdaq.com/articles/want-%242000-in-passive-income-invest-%2410000-in-this-cathie-wood-dividend-stock-and-wait-5,,1
ABT,Healthcare,2022-05-13,2022-05-13,"EXCLUSIVE-Maker of Walmart, Amazon store-brand infant formulas expects shortages through rest of 2022",https://www.nasdaq.com/articles/exclusive-maker-of-walmart-amazon-store-brand-infant-formulas-expects-shortages-through-0,,4
ABT,Healthcare,2023-01-23,2023-01-23,"Noteworthy ETF Inflows: VONV, PFE, VZ, ABT",https://www.nasdaq.com/articles/noteworthy-etf-inflows%3A-vonv-pfe-vz-abt,,4
ABT,Healthcare,2023-05-24,2023-05-24,ABT Makes Notable Cross Below Critical Moving Average,https://www.nasdaq.com/articles/abt-makes-notable-cross-below-critical-moving-average-1,,6
ABT,Healthcare,2023-07-26,2023-07-26,Quest Diagnostics beats profit estimates as routine testing picks up,https://www.nasdaq.com/articles/quest-diagnostics-beats-profit-estimates-as-routine-testing-picks-up,,10
ADBE,Tech,2020-02-18,2020-02-18,Is ADBE Stock Still Viable? Look to the Gig Economy for the Answer,https://www.nasdaq.com/articles/is-adbe-stock-still-viable-look-to-the-gig-economy-for-the-answer-2020-02-18,,2
ADBE,Tech,2021-09-30,2021-09-30,My Best Stocks to Buy and Hold Right Now,https://www.nasdaq.com/articles/my-best-stocks-to-buy-and-hold-right-now-2021-09-30,,2
