dataset,n_rows,n_tickers,total_missing_dates,n_duplicate_rows,n_return_outliers,n_price_consistency_issues,n_return_outliers_mad
equity_prices,50300,50,0.0,0,192.0,0.0,1283.0
crypto_prices,14610,10,0.0,0,60.0,0.0,618.0
news_headlines,146836,50,,2847,,,
equity_prices,50300,50,0.0,0,192.0,0.0,1283.0
crypto_prices,14610,10,0.0,0,60.0,0.0,618.0
news_headlines,146836,50,,2847,,,
equity_prices,50300,50,0.0,0,192.0,0.0,1283.0
crypto_prices,14610,10,0.0,0,60.0,0.0,618.0
news_headlines,146836,50,,2847,,,
equity_prices,50300,50,0.0,0,192.0,0.0,1283.0
crypto_prices,14610,10,0.0,0,60.0,0.0,618.0
news_headlines,146836,50,,2847,,,
equity_prices,50300,50,0.0,0,192.0,0.0,1283.0
crypto_prices,14610,10,0.0,0,60.0,0.0,618.0
news_headlines,146836,50,,2847,,,
equity_prices,50300,50,0.0,0,192.0,0.0,1283.0
crypto_prices,14610,10,0.0,0,60.0,0.0,618.0
news_headlines,146836,50,,2847,,,
equity_prices,50300,50,0.0,0,192.0,0.0,1283.0
crypto_prices,14610,10,0.0,0,60.0,0.0,618.0
news_headlines,146836,50,,2847,,,
equity_prices,50300,50,0.0,0,192.0,0.0,1283.0
crypto_prices,14610,10,0.0,0,60.0,0.0,618.0
news_headlines,146836,50,,2847,,,
equity_prices,50300,50,0.0,0,192.0,0.0,1283.0
crypto_prices,14610,10,0.0,0,60.0,0.0,618.0
news_headlines,146836,50,,2847,,,
equity_prices,50300,50,0.0,0,192.0,0.0,1283.0
crypto_prices,14610,10,0.0,0,60.0,0.0,618.0
news_headlines,146836,50,,2847,,,
equity_prices,50300,50,0.0,0,192.0,0.0,1283.0
crypto_prices,14610,10,0.0,0,60.0,0.0,618.0
news_headlines,146836,50,,2847,,,
equity_prices,50300,50,0.0,0,192.0,0.0,1283.0
crypto_prices,14610,10,0.0,0,60.0,0.0,618.0
news_headlines,146836,50,,2847,,,
equity_prices,50300,50,0.0,0,192.0,0.0,1283.0
crypto_prices,14610,10,0.0,0,60.0,0.0,618.0
news_headlines,146836,50,,2847,,,
equity_prices,50300,50,0.0,0,192.0,0.0,1283.0
crypto_prices,14610,10,0.0,0,60.0,0.0,618.0
news_headlines,146836,50,,2847,,,
equity_prices,50300,50,0.0,0,192.0,0.0,1283.0
crypto_prices,14610,10,0.0,0,60.0,0.0,618.0
news_headlines,146836,50,,2847,,,
equity_prices,50300,50,0.0,0,192.0,0.0,1283.0
crypto_prices,14610,10,0.0,0,60.0,0.0,618.0
news_headlines,146836,50,,2847,,,
equity_prices,50300,50,0.0,0,192.0,0.0,1283.0
crypto_prices,14610,10,0.0,0,60.0,0.0,618.0
news_headlines,146836,50,,2847,,,
equity_prices,50300,50,0.0,0,192.0,0.0,1283.0
crypto_prices,14610,10,0.0,0,60.0,0.0,618.0
news_headlines,146836,50,,2847,,,
equity_prices,50300,50,0.0,0,192.0,0.0,1283.0
crypto_prices,14610,10,0.0,0,60.0,0.0,618.0
news_headlines,146836,50,,2847,,,
equity_prices,50300,50,0.0,0,192.0,0.0,1283.0
crypto_prices,14610,10,0.0,0,60.0,0.0,618.0
news_headlines,146836,50,,2847,,,
equity_prices,50300,50,0.0,0,192.0,0.0,1283.0
crypto_prices,14610,10,0.0,0,60.0,0.0,618.0
news_headlines,146836,50,,2847,,,
equity_prices,50300,50,0.0,0,192.0,0.0,1283.0
crypto_prices,14610,10,0.0,0,60.0,0.0,618.0
news_headlines,146836,50,,2847,,,
equity_prices,50300,50,0.0,0,192.0,0.0,1283.0
crypto_prices,14610,10,0.0,0,60.0,0.0,618.0
news_headlines,146836,50,,2847,,,
equity_prices,50300,50,0.0,0,192.0,0.0,1283.0
crypto_prices,14610,10,0.0,0,60.0,0.0,618.0
news_headlines,146836,50,,2847,,,
equity_prices,50300,50,0.0,0,192.0,0.0,1283.0
crypto_prices,14610,10,0.0,0,60.0,0.0,618.0
news_headlines,146836,50,,2847,,,
equity_prices,50300,50,0.0,0,192.0,0.0,1283.0
crypto_prices,14610,10,0.0,0,60.0,0.0,618.0
news_headlines,146836,50,,2847,,,
equity_prices,50300,50,0.0,0,192.0,0.0,1283.0
crypto_prices,14610,10,0.0,0,60.0,0.0,618.0
news_headlines,146836,50,,2847,,,
equity_prices,50300,50,0.0,0,192.0,0.0,1283.0
crypto_prices,14610,10,0.0,0,60.0,0.0,618.0
news_headlines,146836,50,,2847,,,
equity_prices,50300,50,0.0,0,192.0,0.0,1283.0
crypto_prices,14610,10,0.0,0,60.0,0.0,618.0
news_headlines,146836,50,,2847,,,
equity_prices,50300,50,0.0,0,192.0,0.0,1283.0
crypto_prices,14610,10,0.0,0,60.0,0.0,618.0
news_headlines,146836,50,,2847,,,
