fund,universe,method,annualised_return,annualised_volatility,sharpe_ratio,max_drawdown,n_days,first_oos_date
Equity Equal-Weight,Equity,Equal-Weight,0.12643529221978822,0.16155459384580623,0.7826165088221683,-0.20321862626913656,753,2021-01-04
Equity Max-Sharpe,Equity,Max-Sharpe,0.10079200672936506,0.18117396688119783,0.5563272056379819,-0.23930043056105788,753,2021-01-04
Equity Mean-CVaR,Equity,Mean-CVaR,0.03109902482665783,0.13553014766202043,0.229462044889166,-0.1836636185924061,753,2021-01-04
Equity Min-Variance,Equity,Min-Variance,0.053073943241557675,0.1274462033230108,0.416441932813349,-0.1481405720051332,753,2021-01-04
Equity Risk-Parity,Equity,Risk-Parity,0.0991573817808078,0.14577825355604637,0.6801932343268569,-0.18419676872681878,753,2021-01-04
Crypto Equal-Weight,Crypto,Equal-Weight,0.3418797885401814,0.80385373673899,0.4253009881214115,-0.8159730614257941,1095,2021-01-01
Crypto Max-Sharpe,Crypto,Max-Sharpe,-0.16070191909898812,0.8129730464916742,-0.1976718905903283,-0.8755132352970515,1095,2021-01-01
Crypto Mean-CVaR,Crypto,Mean-CVaR,0.15072844709569932,0.6393445187915852,0.23575465600391593,-0.7636063336458945,1095,2021-01-01
Crypto Min-Variance,Crypto,Min-Variance,0.2781176096126923,0.6342267658057376,0.4385144629766054,-0.7594491166251026,1095,2021-01-01
Crypto Risk-Parity,Crypto,Risk-Parity,0.3783229291029717,0.7826322659481695,0.4833980728415643,-0.7996225540101388,1095,2021-01-01
Combined Equal-Weight,Combined,Equal-Weight,0.1497918531249407,0.2123757120690775,0.7053153661762381,-0.2874698799026537,753,2021-01-04
Combined Max-Sharpe,Combined,Max-Sharpe,0.23464275038636861,0.24443230760857246,0.9599498228446929,-0.2417042948104483,753,2021-01-04
Combined Mean-CVaR,Combined,Mean-CVaR,0.029093514861558534,0.1372326930234216,0.21200134035548748,-0.1836636185924031,753,2021-01-04
Combined Min-Variance,Combined,Min-Variance,0.05441879943722383,0.12770098945159597,0.42614234761157305,-0.14975819681567648,753,2021-01-04
Combined Risk-Parity,Combined,Risk-Parity,0.1400748243386445,0.16002368393603503,0.8753380805470987,-0.19711467584957332,753,2021-01-04
